name,Age,G,GS,MP,FG,FGA,FGP,Three_P,Three_PA,Three_PP,Two_P,Two_PA,Two_PP,eFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,place,team,team_abbr
Amar'e Stoudemire,28,78,78,2870,744,1482,0.502,10,23,0.435,734,1459,0.503,0.505,473,597,0.792,198,438,636,202,71,150,250,274,1971,2011,New York,Knicks,NYK
Landry Fields,22,82,81,2541,299,602,0.497,86,219,0.393,213,383,0.556,0.568,113,147,0.769,105,416,521,155,80,17,107,114,797,2011,New York,Knicks,NYK
Raymond Felton,26,54,54,2074,339,801,0.423,88,268,0.328,251,533,0.471,0.478,157,181,0.867,40,154,194,488,97,11,176,113,923,2011,New York,Knicks,NYK
Toney Douglas,24,81,9,1971,314,755,0.416,143,383,0.373,171,372,0.46,0.511,85,107,0.794,65,179,244,244,89,4,89,177,856,2011,New York,Knicks,NYK
Wilson Chandler,23,51,30,1759,328,712,0.461,86,245,0.351,242,467,0.518,0.521,96,119,0.807,62,241,303,86,34,70,67,152,838,2011,New York,Knicks,NYK
Danilo Gallinari,22,48,48,1671,211,509,0.415,83,239,0.347,128,270,0.474,0.496,259,290,0.893,48,181,229,82,38,18,58,117,764,2011,New York,Knicks,NYK
Shawne Williams,24,64,11,1323,164,385,0.426,85,212,0.401,79,173,0.457,0.536,41,49,0.837,60,179,239,47,39,51,46,164,454,2011,New York,Knicks,NYK
Ronny Turiaf,28,64,21,1141,103,163,0.632,0,0,0.0,103,163,0.632,0.632,61,98,0.622,64,143,207,92,35,73,41,160,267,2011,New York,Knicks,NYK
Carmelo Anthony,26,27,27,977,247,536,0.461,53,125,0.424,194,411,0.472,0.51,164,188,0.872,41,140,181,81,25,15,64,90,711,2011,New York,Knicks,NYK
Henry Walker,23,61,1,784,104,236,0.441,59,153,0.386,45,83,0.542,0.566,31,44,0.705,16,106,122,34,21,6,37,81,298,2011,New York,Knicks,NYK
Chauncey Billups,34,21,21,664,104,258,0.403,41,125,0.328,63,133,0.474,0.483,119,132,0.902,13,52,65,116,19,2,48,52,368,2011,New York,Knicks,NYK
Jared Jeffries,29,24,9,463,19,50,0.38,1,3,0.333,18,47,0.383,0.39,8,19,0.421,42,39,81,25,24,14,17,54,47,2011,New York,Knicks,NYK
Timofey Mozgov,24,34,14,458,52,112,0.464,0,0,0.0,52,112,0.464,0.464,31,44,0.705,41,63,104,15,14,23,32,76,135,2011,New York,Knicks,NYK
Roger Mason,30,26,0,319,26,77,0.338,16,44,0.364,10,33,0.303,0.442,7,10,0.7,5,38,43,20,6,2,6,25,75,2011,New York,Knicks,NYK
Anthony Carter,35,19,0,310,35,76,0.461,8,28,0.286,27,48,0.563,0.513,6,6,1.0,7,32,39,43,18,5,25,30,84,2011,New York,Knicks,NYK
Shelden Williams,27,17,6,198,21,39,0.538,0,0,0.0,21,39,0.538,0.538,24,29,0.828,19,31,50,13,5,4,6,34,66,2011,New York,Knicks,NYK
Anthony Randolph,21,17,0,127,14,45,0.311,1,4,0.25,13,41,0.317,0.322,6,12,0.5,11,29,40,7,4,8,10,15,35,2011,New York,Knicks,NYK
Derrick Brown,23,8,0,88,12,18,0.667,3,4,0.75,9,14,0.643,0.75,7,13,0.538,9,6,15,4,4,2,7,11,34,2011,New York,Knicks,NYK
Andy Rautins,24,5,0,24,3,7,0.429,1,4,0.25,2,3,0.667,0.5,1,2,0.5,0,1,1,3,1,0,7,0,8,2011,New York,Knicks,NYK
Renaldo Balkman,26,3,0,18,1,4,0.25,1,2,0.5,0,2,0.0,0.375,0,0,0.0,1,2,3,0,1,0,1,4,3,2011,New York,Knicks,NYK
John Salmons,31,73,70,2554,373,898,0.415,83,219,0.379,290,679,0.427,0.462,195,240,0.813,27,239,266,252,72,28,137,157,1024,2011,Milwaukee,Bucks,MIL
Andrew Bogut,26,65,65,2297,367,742,0.495,0,4,0.0,367,738,0.497,0.495,96,217,0.442,199,521,720,131,47,168,125,217,830,2011,Milwaukee,Bucks,MIL
Brandon Jennings,21,63,61,2169,361,926,0.39,98,303,0.323,263,623,0.422,0.443,199,246,0.809,42,192,234,305,95,21,146,131,1019,2011,Milwaukee,Bucks,MIL
Luc Mbah a Moute,24,79,52,2093,198,428,0.463,0,7,0.0,198,421,0.47,0.463,133,188,0.707,169,251,420,68,72,28,77,180,529,2011,Milwaukee,Bucks,MIL
Keyon Dooling,30,80,22,1757,206,519,0.397,81,234,0.346,125,285,0.439,0.475,78,94,0.83,12,105,117,243,54,4,91,119,571,2011,Milwaukee,Bucks,MIL
Carlos Delfino,28,49,40,1590,200,513,0.39,105,284,0.37,95,229,0.415,0.492,60,75,0.8,24,176,200,112,76,8,57,72,565,2011,Milwaukee,Bucks,MIL
Ersan İlyasova,23,60,34,1505,221,507,0.436,36,121,0.298,185,386,0.479,0.471,93,104,0.894,105,260,365,56,51,24,63,159,571,2011,Milwaukee,Bucks,MIL
Corey Maggette,31,67,18,1401,253,559,0.453,28,78,0.359,225,481,0.468,0.478,271,325,0.834,44,197,241,84,21,5,127,175,805,2011,Milwaukee,Bucks,MIL
Chris Douglas-Roberts,24,44,12,884,117,273,0.429,15,46,0.326,102,227,0.449,0.456,74,89,0.831,7,81,88,50,29,13,35,73,323,2011,Milwaukee,Bucks,MIL
Larry Sanders,22,60,12,872,116,268,0.433,0,0,0.0,116,268,0.433,0.433,28,50,0.56,59,119,178,16,22,72,38,117,260,2011,Milwaukee,Bucks,MIL
Earl Boykins,34,57,0,862,156,352,0.443,27,71,0.38,129,281,0.459,0.482,69,82,0.841,15,40,55,141,38,3,52,43,408,2011,Milwaukee,Bucks,MIL
Drew Gooden,29,35,18,860,156,362,0.431,3,20,0.15,153,342,0.447,0.435,81,102,0.794,73,165,238,47,21,18,46,98,396,2011,Milwaukee,Bucks,MIL
Jon Brockman,23,63,6,677,48,94,0.511,0,0,0.0,48,94,0.511,0.511,40,59,0.678,74,110,184,18,14,3,24,119,136,2011,Milwaukee,Bucks,MIL
Michael Redd,31,10,0,134,18,45,0.4,4,17,0.235,14,28,0.5,0.444,4,4,1.0,0,8,8,12,2,1,4,4,44,2011,Milwaukee,Bucks,MIL
Earl Barron,29,7,0,85,17,37,0.459,0,0,0.0,17,37,0.459,0.459,2,2,1.0,12,10,22,4,2,2,2,10,36,2011,Milwaukee,Bucks,MIL
Garrett Temple,24,9,0,83,7,21,0.333,3,10,0.3,4,11,0.364,0.405,0,4,0.0,0,6,6,6,1,1,2,8,17,2011,Milwaukee,Bucks,MIL
Brian Skinner,34,2,0,6,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2011,Milwaukee,Bucks,MIL
Danny Granger,27,79,79,2763,535,1260,0.425,157,407,0.386,378,853,0.443,0.487,395,466,0.848,87,338,425,203,89,62,206,213,1622,2011,Indiana,Pacers,IND
Darren Collison,23,79,79,2360,398,870,0.457,41,124,0.331,357,746,0.479,0.481,202,232,0.871,40,185,225,403,87,14,194,109,1039,2011,Indiana,Pacers,IND
Roy Hibbert,24,81,80,2244,410,890,0.461,0,4,0.0,410,886,0.463,0.461,205,275,0.745,182,428,610,166,33,142,185,256,1025,2011,Indiana,Pacers,IND
Brandon Rush,25,67,21,1754,217,515,0.421,93,223,0.417,124,292,0.425,0.512,80,106,0.755,33,184,217,62,41,35,69,107,607,2011,Indiana,Pacers,IND
Mike Dunleavy,30,61,44,1683,240,520,0.462,102,254,0.402,138,266,0.519,0.56,100,125,0.8,28,248,276,105,40,30,69,107,682,2011,Indiana,Pacers,IND
Josh McRoberts,23,72,51,1597,211,386,0.547,23,60,0.383,188,326,0.577,0.576,88,119,0.739,109,273,382,150,47,57,93,165,533,2011,Indiana,Pacers,IND
Tyler Hansbrough,25,70,29,1535,285,613,0.465,0,2,0.0,285,611,0.466,0.465,197,253,0.779,145,221,366,41,37,15,76,160,767,2011,Indiana,Pacers,IND
Paul George,20,61,19,1265,179,395,0.453,41,138,0.297,138,257,0.537,0.505,77,101,0.762,37,187,224,65,62,26,70,127,476,2011,Indiana,Pacers,IND
Jeff Foster,34,56,3,940,80,167,0.479,0,3,0.0,80,164,0.488,0.479,27,48,0.563,160,190,350,46,24,31,26,127,187,2011,Indiana,Pacers,IND
James Posey,34,49,0,839,81,241,0.336,67,212,0.316,14,29,0.483,0.475,11,15,0.733,10,137,147,34,24,6,24,103,240,2011,Indiana,Pacers,IND
A.J. Price,24,50,0,795,114,320,0.356,41,149,0.275,73,171,0.427,0.42,54,81,0.667,16,56,72,111,29,1,53,61,323,2011,Indiana,Pacers,IND
T.J. Ford,27,41,3,773,91,236,0.386,6,32,0.188,85,204,0.417,0.398,35,48,0.729,17,64,81,141,35,8,63,69,223,2011,Indiana,Pacers,IND
Dahntay Jones,30,45,2,589,100,214,0.467,14,39,0.359,86,175,0.491,0.5,69,90,0.767,4,61,65,33,20,7,31,70,283,2011,Indiana,Pacers,IND
Solomon Jones,26,39,0,528,49,121,0.405,0,1,0.0,49,120,0.408,0.405,41,62,0.661,45,68,113,30,12,22,35,94,139,2011,Indiana,Pacers,IND
Lance Stephenson,20,12,0,115,13,39,0.333,0,5,0.0,13,34,0.382,0.333,11,14,0.786,1,17,18,21,4,0,16,14,37,2011,Indiana,Pacers,IND
Luol Deng,25,82,82,3208,531,1155,0.46,115,333,0.345,416,822,0.506,0.51,253,336,0.753,116,360,476,230,78,48,156,162,1430,2011,Chicago,Bulls,CHI
Derrick Rose,22,81,81,3026,711,1597,0.445,128,385,0.332,583,1212,0.481,0.485,476,555,0.858,81,249,330,623,85,51,278,136,2026,2011,Chicago,Bulls,CHI
Carlos Boozer,29,59,59,1882,431,845,0.51,0,0,0.0,431,845,0.51,0.51,171,244,0.701,130,435,565,145,45,18,149,186,1033,2011,Chicago,Bulls,CHI
Ronnie Brewer,25,81,1,1781,205,427,0.48,6,27,0.222,199,400,0.498,0.487,87,133,0.654,55,207,262,140,106,22,55,82,503,2011,Chicago,Bulls,CHI
Taj Gibson,25,80,19,1742,234,502,0.466,1,8,0.125,233,494,0.472,0.467,100,148,0.676,162,296,458,58,39,106,71,203,569,2011,Chicago,Bulls,CHI
Kyle Korver,29,82,0,1649,242,557,0.434,120,289,0.415,122,268,0.455,0.542,77,87,0.885,12,138,150,124,35,20,60,156,681,2011,Chicago,Bulls,CHI
Joakim Noah,25,48,48,1576,211,402,0.525,0,1,0.0,211,401,0.526,0.525,139,188,0.739,182,316,498,107,48,72,90,156,561,2011,Chicago,Bulls,CHI
Keith Bogans,30,82,82,1461,124,307,0.404,90,237,0.38,34,70,0.486,0.55,21,32,0.656,19,129,148,101,38,9,41,113,359,2011,Chicago,Bulls,CHI
Kurt Thomas,38,52,37,1178,95,186,0.511,1,1,1.0,94,185,0.508,0.513,20,32,0.625,75,226,301,60,32,42,42,164,211,2011,Chicago,Bulls,CHI
C.J. Watson,26,82,1,1091,146,394,0.371,44,112,0.393,102,282,0.362,0.426,69,93,0.742,16,78,94,186,55,11,73,82,405,2011,Chicago,Bulls,CHI
Ömer Aşık,24,82,0,989,78,141,0.553,0,0,0.0,78,141,0.553,0.553,73,145,0.503,112,194,306,32,20,56,64,153,229,2011,Chicago,Bulls,CHI
James Johnson,23,13,0,123,17,41,0.415,2,9,0.222,15,32,0.469,0.439,6,13,0.462,6,18,24,14,8,9,18,25,42,2011,Chicago,Bulls,CHI
Brian Scalabrine,32,18,0,88,10,19,0.526,0,5,0.0,10,14,0.714,0.526,0,0,0.0,1,7,8,6,3,4,5,18,20,2011,Chicago,Bulls,CHI
Rasual Butler,31,6,0,26,6,11,0.545,4,7,0.571,2,4,0.5,0.727,0,0,0.0,0,1,1,0,0,0,2,3,16,2011,Chicago,Bulls,CHI
John Lucas III,28,2,0,10,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,2,0.0,0,0,0,1,0,0,0,0,2,2011,Chicago,Bulls,CHI
Tayshaun Prince,30,78,78,2562,473,1001,0.473,34,98,0.347,439,903,0.486,0.49,118,168,0.702,78,251,329,215,30,41,82,90,1098,2011,Detroit,Pistons,DET
Greg Monroe,20,80,48,2222,303,550,0.551,0,1,0.0,303,549,0.552,0.551,145,233,0.622,248,353,601,105,93,45,81,196,751,2011,Detroit,Pistons,DET
Rodney Stuckey,24,70,54,2183,363,827,0.439,26,90,0.289,337,737,0.457,0.455,330,381,0.866,70,146,216,361,76,10,155,177,1082,2011,Detroit,Pistons,DET
Ben Gordon,27,82,27,2131,339,770,0.44,107,266,0.402,232,504,0.46,0.51,136,160,0.85,41,154,195,171,48,16,141,178,921,2011,Detroit,Pistons,DET
Tracy McGrady,31,72,39,1686,227,514,0.442,30,88,0.341,197,426,0.462,0.471,90,129,0.698,49,202,251,252,66,34,102,101,574,2011,Detroit,Pistons,DET
Charlie Villanueva,26,76,11,1666,313,708,0.442,125,323,0.387,188,385,0.488,0.53,89,116,0.767,50,245,295,48,42,42,66,175,840,2011,Detroit,Pistons,DET
Richard Hamilton,32,55,39,1498,288,671,0.429,55,144,0.382,233,527,0.442,0.47,146,172,0.849,24,102,126,171,39,4,88,95,777,2011,Detroit,Pistons,DET
Austin Daye,22,72,16,1446,193,471,0.41,69,172,0.401,124,299,0.415,0.483,82,108,0.759,64,210,274,78,39,39,59,165,537,2011,Detroit,Pistons,DET
Ben Wallace,36,54,49,1238,67,149,0.45,1,2,0.5,66,147,0.449,0.453,19,57,0.333,129,221,350,72,54,54,44,81,154,2011,Detroit,Pistons,DET
